"X","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
843,"12/25/2007","The Bucket List",45000000,93466502,174807445,"Warner Bros.","PG-13","Comedy"
844,"7/20/1994","The Client",45000000,92115211,117615211,"Warner Bros.","PG-13","Drama"
845,"11/23/2011","The Muppets",45000000,88625922,160971922,"Walt Disney","PG","Adventure"
846,"6/5/1992","Patriot Games",45000000,83287363,178100000,"Paramount Pictures","R","Action"
847,"5/13/2005","Monster-in-Law",45000000,82931301,155931301,"New Line","PG-13","Comedy"
848,"10/5/2001","Training Day",45000000,76261036,104505362,"Warner Bros.","R","Drama"
849,"12/24/1999","Galaxy Quest",45000000,71423726,90523726,"Dreamworks SKG","PG","Adventure"
850,"7/4/2001","Scary Movie 2",45000000,71277420,141189101,"Miramax/Dimension","R","Comedy"
851,"8/21/1998","Blade",45000000,70141876,131237688,"New Line","R","Action"
852,"1/14/2005","Coach Carter",45000000,67264877,76665507,"Paramount Pictures","PG-13","Drama"
853,"4/11/1997","Anaconda",45000000,65598907,136998907,"Sony Pictures","PG-13","Horror"
854,"1/20/2006","Underworld: Evolution",45000000,62318875,113417762,"Sony Pictures","R","Action"
855,"8/4/2000","Coyote Ugly",45000000,60786269,113916474,"Walt Disney","PG-13","Drama"
856,"8/9/1996","Jack",45000000,58617334,58617334,"Walt Disney","PG-13","Drama"
857,"10/7/1994","The Specialist",45000000,57362581,57362581,"Warner Bros.","R","Action"
858,"12/9/2016","Office Christmas Party",45000000,54767494,91340376,"Paramount Pictures","R","Comedy"
859,"11/23/2005","Yours, Mine and Ours",45000000,53359917,72359917,"Paramount Pictures","PG","Comedy"
860,"9/21/2007","Resident Evil: Extinction",45000000,50648679,146162920,"Sony Pictures","R","Action"
861,"12/25/2004","Fat Albert",45000000,48114556,48563556,"20th Century Fox","PG","Comedy"
862,"9/30/1994","The River Wild",45000000,46815000,94215000,"Universal","PG-13","Action"
863,"6/16/2017","All Eyez on Me",45000000,44922302,54876855,"Lionsgate","R","Drama"
864,"1/13/2006","Last Holiday",45000000,38399961,43343247,"Paramount Pictures","PG-13","Comedy"
865,"3/3/2006","16 Blocks",45000000,36895141,65595141,"Warner Bros.","PG-13","Action"
866,"7/14/1995","The Indian in the Cupboard",45000000,35627222,35627222,"Paramount Pictures","PG","Adventure"
867,"7/28/2006","The Ant Bully",45000000,28142535,49610898,"Warner Bros.","PG","Adventure"
868,"7/18/2003","Johnny English",45000000,28013509,163126676,"Universal","PG","Adventure"
869,"12/14/1984","Dune",45000000,27447471,27447471,"Universal",NA,"Action"
870,"7/31/2009","Aliens in the Attic",45000000,25200412,59551283,"20th Century Fox","PG","Adventure"
871,"12/26/2008","Revolutionary Road",45000000,22951340,79604820,"Paramount Vantage","R","Drama"
872,"8/29/2008","Babylon A.D.",45000000,22532572,70216497,"20th Century Fox","PG-13","Action"
